year;month;day;hour;stid;x;y;z;yo;
 2014;06;01;1;3370;274810;6582300;45;10.3;
 2014;06;01;1;3015;273369;6567897;10;NA;
 2014;06;01;1;3019;268546;6570532;10;NA;
 2014;06;01;1;3030;269721;6572716;30;NA;
 2014;06;01;1;3120;273191;6575744;9;NA;
 2014;06;01;1;17000;261507;6564358;10;12.1;
 2014;06;01;1;17005;262798;6566756;5;NA;
 2014;06;01;1;17030;257811;6577264;3;NA;
 2014;06;01;1;1080;273068;6550860;17;NA;
 2014;06;01;1;1600;310962;6573072;120;NA;
 2014;06;01;1;1650;309830;6578293;113;NA;
 2014;06;01;1;1950;310323;6598603;123;NA;
 2014;06;01;1;1960;308218;6601733;208;NA;
 2014;06;01;1;3990;291757;6630307;179;NA;
 2014;06;01;1;3720;279667;6612039;90;NA;
 2014;06;01;1;3730;279597;6612489;97;NA;
 2014;06;01;1;3731;279414;6612556;100;NA;
 2014;06;01;1;3810;283569;6611689;141;NA;
 2014;06;01;1;3480;299543;6606203;158;NA;
 2014;06;01;1;1380;289972;6587756;130;NA;
 2014;06;01;1;3280;295655;6597006;144;NA;
 2014;06;01;1;3290;294848;6588637;100;7;
 2014;06;01;1;17050;261862;6583037;12;7.6;
 2014;06;01;1;17090;266768;6586248;50;NA;
 2014;06;01;1;17150;261313;6589257;40;9;
 2014;06;01;1;17380;259002;6592062;35;9.9;
 2014;06;01;1;17400;261580;6600663;30;NA;
 2014;06;01;1;17500;274348;6602086;131;NA;
 2014;06;01;1;3780;277168;6617511;144;NA;
 2014;06;01;1;17550;258209;6605479;25;NA;
 2014;06;01;1;17650;259606;6614602;75;NA;
 2014;06;01;1;17830;264690;6632156;60;NA;
 2014;06;01;1;17850;262417;6621156;92;7.7;
 2014;06;01;1;17870;263485;6621780;120;NA;
 2014;06;01;1;17875;265369;6623705;91;NA;
 2014;06;01;1;17775;252118;6630448;32;NA;
 2014;06;01;1;17780;255111;6638303;104;NA;
 2014;06;01;1;17810;257107;6643253;98;NA;
 2014;06;01;1;17895;262141;6636081;110;NA;
 2014;06;01;1;19430;250565;6647821;3;NA;
 2014;06;01;1;19490;249325;6649469;67;NA;
 2014;06;01;1;19510;255499;6652819;125;NA;
 2014;06;01;1;19610;246271;6650683;81;NA;
 2014;06;01;1;19660;242345;6654552;250;NA;
 2014;06;01;1;19710;244377;6644211;163;10;
 2014;06;01;1;2560;296190;6639055;204;NA;
 2014;06;01;1;2650;308792;6646573;128;5.1;
